company,ceo2015,ceo_comp,id,median_comp,overall_2014,ratio,size,profits
3M,Inge G. Thulin,20115589,446,84130,3.7,239,89446,4833
Abbott Labs,Miles D. White,17732241,12,101178,3.5,175,74000,4423
AbbVie,Richard A. Gonzalez,22006271,649837,104366,3.6,211,28000,5144
Accenture,Pierre Nanterme,15925463,4138,89848,3.6,177,358000,3054
ACE Group,Evan G. Greenberg,19678174,382053,64395,3.1,306,631,
ADM,Patricia Woertz,17022941,55,61130,3.3,278,32300,1849
Adobe,Shantanu Narayen,17890918,1090,133322,4,134,13893,630
ADP,Carlos A. Rodriguez,8237147,64,75511,3.5,109,55000,1453
ADT Security Services,Naren K. Gursahaney,5465388,13956,51050,2.5,107,,
Advance Auto Parts,Darren R. Jackson,4303711,8708,35699,2.9,121,40000,473
AEP,Nicholas K. Akins,11373520,34,78590,3.7,145,17405,2047
AES Corporation,Andrs Ricardo Gluski Weilert,8403245,291,115000,4,73,21000,306
Aetna,Mark T. Bertolini,15067322,16,67873,3.3,222,50100,2390
Aflac,Daniel P. Amos,15477348,1302,45723,3.3,339,9915,2533
Agilent Technologies,William P. Sullivan,13914733,9711,107268,3.5,130,12200,401
AIG,Robert Herman Benmosche,11433372,40,85216,3,134,66400,2196
Aimco Apartment Homes,"Terry Considine, J.D.",4284430,24024,57978,4,74,1591,249
Air Products,Seifi Ghasemi,10189713,17,89015,3.5,114,19400,1278
Airgas,Michael L. Molinini,4302807,18,55580,2.6,77,17000,338
Akamai,F. Thomson Leighton,7499987,9219,129603,4,58,6084,321
Alcoa,Klaus-Christian Kleinfeld,18158522,29,70158,3.2,259,60000,-322
Allergan,David E. I. Pyott,17785957,27,105237,3.5,169,,
Alliance Data,Edward J. Heffernan,8727450,11421,60601,3.4,144,16000,552
Allstate,Thomas J. Wilson,15641385,2341,56155,3.4,279,41100,2171
Altera,John P. Daane,7248710,1112,141035,3.4,51,3091,473
Altria,Martin J. Barrington,12320990,528,79572,3.7,155,8800,5241
Amazon.com,Jeffrey P. Bezos,1681840,6036,114352,3.4,15,230800,596
Ameren,"Warner L. Baxter, CPA",4958397,690,74000,3.7,67,8527,630
American Airlines,W. Douglas Parker,12301976,8,54800,3.4,224,118500,700
American Express,K.I. Chenault,22796083,35,108598,3.7,210,54800,5163
American Tower,"James D. Taiclet, Jr.",12704773,8043,67879,3,187,3371,685
Ameriprise,James M. Cracchiolo,24455192,15316,58902,3.4,415,13000,1562
AmerisourceBergen,Steven H. Collis,9902985,2703,59462,3.2,167,16500,-135
AMETEK,Frank S. Hermance,7109240,7,70814,2.8,100,15400,591
Amgen,Robert A. Bradway,13961667,1130,121202,3.5,115,17900,6939
Anadarko Petroleum,R. A. Walker,20720187,48,110626,4.4,187,5800,-6692
Analog Devices,Vincent T. Roche,6090567,49,103127,3.7,59,9700,697
Anthem,Joseph R. Swedish,13532549,925157,74000,3.4,183,53000,2560
Aon,Gregory C. Case,13991640,53,70127,3.4,200,,
Apache,G. Steven Farris,10214172,54,101559,3.3,101,3860,-23119
Apple,Timothy D. Cook,9222638,1138,36760,4,251,110000,53394
Applied Materials,Gary E. Dickerson,16425005,1139,117550,3.5,140,14600,1377
Assurant,Robert B. Pollock,11903533,13793,46961,3.2,253,16700,142
AT&T,Randall L. Stephenson,23984315,613,67302,3.3,356,280870,13345
Autodesk,Carl Bass,8297290,1155,130149,3.9,64,9500,-331
AutoNation,Mike Jackson,10606596,2593,52103,3.2,204,26000,443
AutoZone,"William C. Rhodes, III",5320741,610,24900,2.9,214,46980,1160
Avago Technologies,Hock E. Tan,17202596,40386,122285,2.5,141,,1364
AvalonBay,Tim Naughton,7427676,2616,54491,4,136,2981,742
Avery Dennison,Dean A. Scarborough,12013019,65,81680,3.2,147,25000,274
Baker Hughes,Martin S. Craighead,14709830,72,86844,3.5,169,39000,-1967
Bank of America,Brian T. Moynihan,15342399,8874,52923,3.3,290,213000,15888
Bard,Timothy M. Ring,10840935,116,82638,3.6,131,14900,135
Baxter,"Robert L. Parkinson, Jr.,",15304702,83,82479,3.4,186,50000,968
BB&T,Kelly S. King,14118763,1893,45002,3.2,314,37200,2084
BD,"Vincent A. Forlenza, BD",10983518,88,95000,3.2,116,49517,695
Bed Bath & Beyond,Steven H. Temares,19116040,1961,26047,2.9,734,62000,841
Best Buy,Hubert Joly,13881219,97,25160,3.4,552,125000,897
Biogen Idec,George A. Scangos,18631369,1336,118325,3.7,157,7350,3547
BlackRock,Laurence D. Fink,23862458,9331,124361,3.6,192,13000,3345
BNY Mellon,Gerald L. Hassell,11659528,78,56500,2.8,206,52100,3158
Boeing,"W. James McNerney, Jr.",28861920,102,84974,3.5,340,161400,5176
BorgWarner,James R. Verrier,10005230,1652,70015,3.7,143,30000,610
Boston Scientific,Michael F. Mahoney,10527884,2187,95860,3.6,110,25000,-239
Bristol-Myers Squibb,Lamberto Andreotti,27062382,107,123310,3.7,219,25000,1565
Broadcom,Scott A. McGregor,16451411,6926,145084,3.5,113,10650,652
Brown-Forman,Paul C. Varga,12259150,797,96468,4.2,127,4600,1067
C.H. Robinson Worldwide,John P. Wiehoff,5029488,7124,46634,3.1,108,13159,510
CA Technologies,Michael P. Gregoire,8344222,167,122520,3.2,68,11000,783
Cablevision Systems,James L. Dolan,23702403,802,56155,3.3,422,12920,175
Cameron,Jack B. Moore,10264287,4403,75883,3.5,135,23000,501
Campbell Soup Company,Denise M. Morrison,9687089,129,102495,3.4,95,18600,691
Capital One,Richard D. Fairbank,19606474,3736,83117,3.6,236,45800,4050
Cardinal Health,George S. Barrett,12448618,1227,67360,3.4,185,34500,1215
CarMax,Thomas J. Folliard,9043334,6561,44792,3.5,202,22429,623
Carnival Corporation,Arnold W. Donald,8730512,806,42413,3.5,206,92200,1757
Caterpillar,Douglas R. Oberhelman,17131448,137,86844,3.6,197,105700,2102
CBRE,Robert E. Sulentic,6367953,465818,63012,3.7,101,70000,547
CBS Corp,Leslie Moonves,57175645,1053,66365,3.5,862,16260,1413
Celgene,Robert J. Hugin,24236113,1235,117517,3.7,206,6971,1602
CenterPoint Energy,Scott M. Prochazka,4897291,338,68000,3.7,72,7505,-692
CenturyLink,"Glen F. Post, III",13131448,248324,74615,2.9,176,43000,878
Cerner,Neal L. Patterson,6599410,1242,65000,3.6,102,22200,539
Charles Schwab,Walter W. Bettinger II,11841179,144,71619,3.4,165,15600,1447
Chesapeake Energy,Robert D. Lawler,14677377,906,82297,3.7,178,4400,-14685
Chevron,J.S. Watson,25970417,13524,110000,4.1,236,61500,4587
Chipotle,Steve Ells,28924270,15228,19000,3.4,1522,59330,476
Chubb Corp,John D. Finnegan,17841294,150,74805,3.8,239,22000,2834
